attachment_id,text,user_id,begin,end,train
4307460d-c76e-4005-b7a7-7ec0dfcc4124,кафе,db573f94204e56e0cf3fc2ea000e5bdc,20,65,True
1c10d212-2bec-4247-ad69-0aa24c9386a2,лить,db573f94204e56e0cf3fc2ea000e5bdc,20,62,True
e4be49cd-b1e0-41de-bde6-777e7bd3877f,откупоривать,db573f94204e56e0cf3fc2ea000e5bdc,26,83,True
2261e462-4678-484f-b6ba-5e772cfbd380,лить,2d84da20c251acaeb3186642fcb04f2e,2,31,True
5c146f1b-8616-4dea-b971-271001d9f910,закуска перед едой,2d84da20c251acaeb3186642fcb04f2e,0,39,True
f0791297-0b38-4436-a6cf-d095e3756308,кормить,db573f94204e56e0cf3fc2ea000e5bdc,20,67,True
0b66983b-863a-465c-8896-06d4faa42237,окунать,db573f94204e56e0cf3fc2ea000e5bdc,21,85,True
924d93ca-55d4-4e63-8289-88fdaba36a04,бутылка,db573f94204e56e0cf3fc2ea000e5bdc,11,59,True
575f106c-89f7-467d-9a26-3bab6bbb846c,жевать,db573f94204e56e0cf3fc2ea000e5bdc,21,95,True
748610e8-fe03-47dc-b3c6-49ad9e474b79,вкусный,db573f94204e56e0cf3fc2ea000e5bdc,13,56,True
12be3a96-59b1-47a9-8d59-5097a329c990,жадно есть,db573f94204e56e0cf3fc2ea000e5bdc,9,56,True
07d08968-64cc-45f7-a7a6-5bbe5db37570,переваривать,db573f94204e56e0cf3fc2ea000e5bdc,20,103,True
0e527d7f-393b-414c-aa84-b1e6c61df5d2,вкусный,2d84da20c251acaeb3186642fcb04f2e,1,36,True
530cbaa0-c25d-4acd-a6d5-9dcf74491974,MakDonalds,db573f94204e56e0cf3fc2ea000e5bdc,22,78,True
5e4c1970-e6fb-4117-a747-becfdd6d05e3,предложить тост,db573f94204e56e0cf3fc2ea000e5bdc,13,75,True
16644604-7f3a-4569-be64-06677534ec06,аллергия на еду,db573f94204e56e0cf3fc2ea000e5bdc,10,81,True
f597baaf-9d2c-41ea-9fc2-895ea644ba2a,помощник повара,db573f94204e56e0cf3fc2ea000e5bdc,37,126,True
afdbc3a0-6673-4fee-bdcf-e3007f03b923,кубок,db573f94204e56e0cf3fc2ea000e5bdc,23,91,True
8f1e7f50-2fc9-499c-b05f-9a97c4d9eae8,жевать,2d84da20c251acaeb3186642fcb04f2e,0,40,True
0a7c5db9-dd43-41c9-88ce-31a715042a3c,резервирование; бронирование,db573f94204e56e0cf3fc2ea000e5bdc,20,78,True
45260a2d-50fe-4775-aeb0-194b903200b9,аппетит,db573f94204e56e0cf3fc2ea000e5bdc,3,58,True
8b57f62d-4361-46ab-97a6-99b7c7408b29,бутылка,2d84da20c251acaeb3186642fcb04f2e,0,30,True
